db connection open
page: 0, processed: 1000, errors: 1000
page: 1, processed: 1000, errors: 1000
page: 2, processed: 1000, errors: 1000
page: 3, processed: 1000, errors: 1000
page: 4, processed: 1000, errors: 1000
page: 5, processed: 1000, errors: 1000
page: 6, processed: 1000, errors: 1000
page: 7, processed: 1000, errors: 1000
page: 8, processed: 1000, errors: 1000
page: 9, processed: 1000, errors: 1000
page: 10, processed: 1000, errors: 1000
page: 11, processed: 1000, errors: 1000
page: 12, processed: 1000, errors: 1000
page: 13, processed: 1000, errors: 1000
page: 14, processed: 1000, errors: 1000
page: 15, processed: 1000, errors: 1000
page: 16, processed: 1000, errors: 1000
page: 17, processed: 1000, errors: 1000
page: 18, processed: 1000, errors: 1000
page: 19, processed: 1000, errors: 1000
page: 20, processed: 1000, errors: 1000
page: 21, processed: 1000, errors: 1000
page: 22, processed: 1000, errors: 1000
page: 23, processed: 1000, errors: 1000
page: 24, processed: 1000, errors: 1000
page: 25, processed: 1000, errors: 1000
page: 26, processed: 1000, errors: 1000
page: 27, processed: 1000, errors: 1000
page: 28, processed: 1000, errors: 1000
page: 29, processed: 1000, errors: 1000
page: 30, processed: 1000, errors: 1000
page: 31, processed: 1000, errors: 1000
page: 32, processed: 1000, errors: 1000
page: 33, processed: 1000, errors: 1000
page: 34, processed: 1000, errors: 1000
page: 35, processed: 1000, errors: 1000
page: 36, processed: 1000, errors: 1000
page: 37, processed: 1000, errors: 1000
page: 38, processed: 1000, errors: 1000
page: 39, processed: 1000, errors: 1000
page: 40, processed: 1000, errors: 1000
page: 41, processed: 1000, errors: 1000
page: 42, processed: 1000, errors: 1000
page: 43, processed: 1000, errors: 1000
page: 44, processed: 1000, errors: 1000
page: 45, processed: 1000, errors: 1000
page: 46, processed: 1000, errors: 1000
page: 47, processed: 1000, errors: 1000
page: 48, processed: 1000, errors: 1000
page: 49, processed: 1000, errors: 1000
page: 50, processed: 1000, errors: 1000
page: 51, processed: 1000, errors: 1000
page: 52, processed: 1000, errors: 1000
page: 53, processed: 1000, errors: 1000
page: 54, processed: 1000, errors: 1000
page: 55, processed: 1000, errors: 1000
page: 56, processed: 1000, errors: 1000
page: 57, processed: 1000, errors: 1000
page: 58, processed: 1000, errors: 1000
page: 59, processed: 1000, errors: 1000
page: 60, processed: 1000, errors: 1000
page: 61, processed: 1000, errors: 1000
page: 62, processed: 1000, errors: 1000
page: 63, processed: 1000, errors: 1000
